Plot Title: 21415544,,,,,,,
#,"Date Time, GMT-10:00","Low Range, μS/cm (LGR S/N: 21415544, SEN S/N: 21415544)","High Range, μS/cm (LGR S/N: 21415544, SEN S/N: 21415544)","Temp, °C (LGR S/N: 21415544, SEN S/N: 21415544)","Specific Conductance, μS/cm (LGR S/N: 21415544)",Coupler Detached (LGR S/N: 21415544),End Of File (LGR S/N: 21415544)
1,04/29/25 1:00:00 PM,0,0,23.64,0,Logged,
2,04/29/25 1:10:00 PM,0,0,23.58,0,,
3,04/29/25 1:20:00 PM,0,0,23.68,0,,
4,04/29/25 1:30:00 PM,0,0,23.62,0,,
5,04/29/25 1:40:00 PM,0,0,23.55,0,,
6,04/29/25 1:50:00 PM,0,0,23.47,0,,
7,04/29/25 2:00:00 PM,0,0,23.4,0,,
8,04/29/25 2:10:00 PM,0,0,23.63,0,,
9,04/29/25 2:20:00 PM,0,0,24.97,0,,
10,04/29/25 2:30:00 PM,0,0,25.95,0,,
11,04/29/25 2:40:00 PM,0,0,26.94,0,,
12,04/29/25 2:50:00 PM,0,0,27.68,0,,
13,04/29/25 3:00:00 PM,85,108.7,26.4,105.6,,
14,04/29/25 3:10:00 PM,124.8,142.5,25.47,141.2,,
15,04/29/25 3:20:00 PM,174.7,187.3,25,187.4,,
16,04/29/25 3:30:00 PM,184.7,195.7,24.74,196.8,,
17,04/29/25 3:40:00 PM,187.2,197.9,24.25,201.1,,
18,04/29/25 3:50:00 PM,192.7,202.3,24.22,205.7,,
19,04/29/25 4:00:00 PM,204.2,212.1,24.53,214.3,,
20,04/29/25 4:10:00 PM,210.7,218.3,24.4,221.2,,
21,04/29/25 4:20:00 PM,4391.8,4528.2,24.94,4535.6,,
22,04/29/25 4:30:00 PM,4406.4,4536.7,24.98,4540.3,,
23,04/29/25 4:40:00 PM,4424.3,4551.1,25.01,4551.8,,
24,04/29/25 4:50:00 PM,4432.2,4552.5,25.04,4550.3,,
25,04/29/25 5:00:00 PM,4400.4,4517.7,24.98,4521.2,,
26,04/29/25 5:10:00 PM,6606.3,6689.7,25.42,6633.4,,
27,04/29/25 5:20:00 PM,8822.7,8832.6,25.98,8656.6,,
28,04/29/25 5:30:00 PM,9941.3,9931.7,26.31,9667.5,,
29,04/29/25 5:40:00 PM,12009,12019.2,26.85,11570.2,,
30,04/29/25 5:50:00 PM,13451,13516.7,27.28,12898,,
31,04/29/25 6:00:00 PM,15407.1,15602.6,27.82,14726.2,,
32,04/29/25 6:10:00 PM,16544.8,16812.7,28.05,15794.9,,
33,04/29/25 6:20:00 PM,17048.9,17349.3,28.09,16285.9,,
34,04/29/25 6:30:00 PM,17176,17494,28.14,16405.2,,
35,04/29/25 6:40:00 PM,18483.2,18902.8,28.34,17655.3,,
36,04/29/25 6:50:00 PM,18796,19219.4,28.37,17940.2,,
37,04/29/25 7:00:00 PM,19113.4,19581,28.39,18270.4,,
38,04/29/25 7:10:00 PM,19313.6,19754.9,28.39,18432.7,,
39,04/29/25 7:20:00 PM,19453.1,19912.4,28.37,18587.1,,
40,04/29/25 7:30:00 PM,19896.6,20378,28.48,18979.8,,
41,04/29/25 7:40:00 PM,19611.5,20104.8,28.37,18766.7,,
42,04/29/25 7:50:00 PM,19514.2,19977.3,28.31,18670.1,,
43,04/29/25 8:00:00 PM,19448.7,19888.1,28.26,18605.4,,
44,04/29/25 8:10:00 PM,18936.7,19356.6,28.23,18119.1,,
45,04/29/25 8:20:00 PM,18912,19318.2,28.22,18086.8,,
46,04/29/25 8:30:00 PM,18974.5,19377.7,28.25,18131.5,,
47,04/29/25 8:40:00 PM,19043.1,19452,28.21,18215.7,,
48,04/29/25 8:50:00 PM,18811.9,19206.2,28.16,18003.6,,
49,04/29/25 9:00:00 PM,18301.5,18640.2,27.96,17543.5,,
50,04/29/25 9:10:00 PM,17844.1,18154.5,27.83,17131.3,,
51,04/29/25 9:20:00 PM,17363.5,17628.4,27.68,16685.4,,
52,04/29/25 9:30:00 PM,16868.1,17091.6,27.51,16233.1,,
53,04/29/25 9:40:00 PM,16474.5,16687.6,27.39,15888.1,,
54,04/29/25 9:50:00 PM,16094.5,16281.1,27.28,15535.8,,
55,04/29/25 10:00:00 PM,15721,15875,27.16,15185.4,,
56,04/29/25 10:10:00 PM,15340.5,15468.3,27.05,14829.6,,
57,04/29/25 10:20:00 PM,14994.6,15091.3,26.94,14500.8,,
58,04/29/25 10:30:00 PM,14634,14702.5,26.84,14156.2,,
59,04/29/25 10:40:00 PM,14305.4,14370,26.75,13861.6,,
60,04/29/25 10:50:00 PM,13997,14026.1,26.65,13557.7,,
61,04/29/25 11:00:00 PM,13688.6,13709.8,26.57,13273.7,,
62,04/29/25 11:10:00 PM,13397.1,13412.8,26.49,13007.6,,
63,04/29/25 11:20:00 PM,13123.1,13117.5,26.41,12742.2,,
64,04/29/25 11:30:00 PM,12835.4,12814,26.32,12470.5,,
65,04/29/25 11:40:00 PM,12544.2,12524.1,26.26,12203.5,,
66,04/29/25 11:50:00 PM,12318.8,12281.8,26.2,11982.3,,
67,04/30/25 12:00:00 AM,12082.3,12045.5,26.12,11771.2,,
68,04/30/25 12:10:00 AM,11878.8,11832,26.07,11574.6,,
69,04/30/25 12:20:00 AM,11641.5,11587.9,26,11352.3,,
70,04/30/25 12:30:00 AM,11465.9,11408.9,25.96,11186.2,,
71,04/30/25 12:40:00 AM,11261.8,11200.3,25.9,10995.4,,
72,04/30/25 12:50:00 AM,11056.9,10995.2,25.85,10805.2,,
73,04/30/25 1:00:00 AM,10878.8,10822.3,25.8,10646.4,,
74,04/30/25 1:10:00 AM,10706.4,10647.6,25.76,10483.3,,
75,04/30/25 1:20:00 AM,10545.1,10481.7,25.72,10328.5,,
76,04/30/25 1:30:00 AM,10371.9,10311.4,25.67,10171.3,,
77,04/30/25 1:40:00 AM,10197.5,10136.9,25.63,10007.5,,
78,04/30/25 1:50:00 AM,10021.9,9963.4,25.58,9846.5,,
79,04/30/25 2:00:00 AM,9850.8,9789.1,25.54,9682.3,,
80,04/30/25 2:10:00 AM,9699.8,9649.4,25.5,9552.1,,
81,04/30/25 2:20:00 AM,9546.4,9491.3,25.46,9403.5,,
82,04/30/25 2:30:00 AM,9422.4,9370.1,25.42,9291.2,,
83,04/30/25 2:40:00 AM,9276.9,9224.2,25.4,9150.4,,
84,04/30/25 2:50:00 AM,9166.4,9119.1,25.37,9051.8,,
85,04/30/25 3:00:00 AM,9087.9,9036.8,25.34,8975.7,,
86,04/30/25 3:10:00 AM,8993.7,8944.6,25.32,8887.9,,
87,04/30/25 3:20:00 AM,8900.9,8856.8,25.29,8806.2,,
88,04/30/25 3:30:00 AM,8842,8796.8,25.28,8748.3,,
89,04/30/25 3:40:00 AM,8800.8,8761,25.27,8714.6,,
90,04/30/25 3:50:00 AM,8778.9,8736.9,25.25,8694.2,,
91,04/30/25 4:00:00 AM,8750,8709,25.24,8668.3,,
92,04/30/25 4:10:00 AM,8744.8,8705.1,25.24,8664.4,,
93,04/30/25 4:20:00 AM,8752.7,8712.1,25.24,8671.4,,
94,04/30/25 4:30:00 AM,8759.6,8721.4,25.27,8675.2,,
95,04/30/25 4:40:00 AM,8759.6,8715.9,25.25,8673.3,,
96,04/30/25 4:50:00 AM,8762.3,8719,25.24,8678.3,,
97,04/30/25 5:00:00 AM,8656.8,8617.7,25.13,8597.3,,
98,04/30/25 5:10:00 AM,8642.9,8602.3,25.14,8580.1,,
99,04/30/25 5:20:00 AM,8605.7,8566.9,25.1,8552,,
100,04/30/25 5:30:00 AM,8578.8,8542.3,25.07,8532.8,,
101,04/30/25 5:40:00 AM,8537.4,8499.4,25.06,8491.7,,
102,04/30/25 5:50:00 AM,8489.2,8453.5,25.05,8447.7,,
103,04/30/25 6:00:00 AM,8413.7,8378,25.04,8374,,
104,04/30/25 6:10:00 AM,8368.3,8341.5,25.04,8337.5,,
105,04/30/25 6:20:00 AM,8330.8,8298.2,25.02,8297.7,,
106,04/30/25 6:30:00 AM,8269.6,8241.5,25.02,8241,,
107,04/30/25 6:40:00 AM,8216.2,8187.2,25.02,8186.7,,
108,04/30/25 6:50:00 AM,8157.9,8133,25.01,8134.2,,
109,04/30/25 7:00:00 AM,8094,8071.6,25.01,8072.8,,
110,04/30/25 7:10:00 AM,8039.5,8015.5,25,8018.4,,
111,04/30/25 7:20:00 AM,7972.6,7949.2,25,7952.1,,
112,04/30/25 7:30:00 AM,7901.1,7883.2,24.98,7889.4,,
113,04/30/25 7:40:00 AM,7832.3,7818.8,24.98,7824.9,,
114,04/30/25 7:50:00 AM,7761.4,7746.5,24.97,7754.2,,
115,04/30/25 8:00:00 AM,7708,7694.3,24.96,7703.6,,
