"Date Time, GMT-10:00",Low Range,High Range,"Temp, °C ",Specific Conductance
04/29/25 1:00:00 PM,0,0,23.54,
04/29/25 1:10:00 PM,0,0,23.64,
04/29/25 1:20:00 PM,0,0,23.61,
04/29/25 1:30:00 PM,0,0,23.52,
04/29/25 1:40:00 PM,0,0,23.45,
04/29/25 1:50:00 PM,0,0,23.35,
04/29/25 2:00:00 PM,0,0,23.29,
04/29/25 2:10:00 PM,0,0,24.2,
04/29/25 2:20:00 PM,0,0,25.35,
04/29/25 2:30:00 PM,0,0,26.23,
04/29/25 2:40:00 PM,0,0,27.03,
04/29/25 2:50:00 PM,0,0,27.45,
04/29/25 3:00:00 PM,3568.5,3622.3,29.13,
04/29/25 3:10:00 PM,3551.8,3615.2,29.14,
04/29/25 3:20:00 PM,3558.9,3622.9,29.17,
04/29/25 3:30:00 PM,3526.3,3590.8,29.07,3441.4
04/29/25 3:40:00 PM,3505.2,3571,28.97,3429.2
04/29/25 3:50:00 PM,3486.1,3553,28.91,3416
04/29/25 4:00:00 PM,3468.3,3535.1,28.86,3402.1
04/29/25 4:10:00 PM,3465.1,3531.9,28.82,3401.7
04/29/25 4:20:00 PM,3435.9,3502.5,28.76,3377.4
04/29/25 4:30:00 PM,3423.3,3489.7,28.72,3367.7
04/29/25 4:40:00 PM,3422,3486.6,28.67,3368.1
04/29/25 4:50:00 PM,3400.5,3468,28.61,3354.1
04/29/25 5:00:00 PM,3392.9,3457.2,28.57,3346.3
04/29/25 5:10:00 PM,3382.2,3447,28.52,3339.8
04/29/25 5:20:00 PM,3394.2,3459.1,28.52,3351.5
04/29/25 5:30:00 PM,3376.5,3440,28.48,3335.6
04/29/25 5:40:00 PM,3370.2,3434.9,28.43,3334
04/29/25 5:50:00 PM,3372.1,3437.4,28.45,3335
04/29/25 6:00:00 PM,3368.9,3434.2,28.4,3335.3
04/29/25 6:10:00 PM,3366.4,3433,28.4,3334.1
04/29/25 6:20:00 PM,3357,3421.5,28.36,3325.5
04/29/25 6:30:00 PM,3337.5,3401.7,28.3,3310.3
